item,Phon,LDTrt,LDTpe,NMGrt,PDMrt,FLPrt,freqfilms,freqbooks,Nlett,Nphon,OLD20,PLD20,AoA,Freqsubj,IMA
gifle,Zifl,757.2,0.13,527.5,1195.0,682.6,4.97,11.68,5,4,1.6,1.55,5.4,3.7,5.8
gîte,Zit,697.5,0.03,498.5,1199.5,656.1,1.2,6.15,4,3,1.7,1,10.7,3.1,5.6
givre,ZivR,741.0,0.35,554.8,1118.5,696.5,0.32,5.07,5,4,1.6,1.7,9.4,3.0,5.8
glace,glas,592.4,0.03,491.8,1123.3,589.0,59.49,78.71,5,4,1.6,1.1,4.4,4.5,6.6
glaive,glEv,744.2,0.36,513.8,1304.3,716.4,1.71,3.85,6,4,1.85,1.6,10.5,2.5,3.4
gland,gl@,719.9,0.06,475.9,1123.4,754.2,2.14,3.04,5,3,1.55,1.1,8.6,3.4,6.1
glande,gl@d,697.4,0.17,489.5,1250.3,NA,1.6,1.22,6,4,1.45,1.5,12.4,3.9,4.1
glauque,glok,788.9,0.40,536.0,1303.8,747.1,1.12,6.82,7,4,2.4,1.95,13.0,3.5,2.8
glisse,glis,645.3,0.00,481.3,1185.6,694.3,10.96,33.51,6,4,1.6,1.3,6.4,3.9,4.4
globe,glOb,650.5,0.00,486.4,1096.6,637.8,3.17,8.58,5,4,1.75,1.65,7.8,3.4,6.2
gloire,glwaR,633.2,0.03,496.1,1193.7,605.7,34.78,48.51,6,5,1.9,1.85,9.8,3.8,2.8
glotte,glOt,760.9,0.46,495.1,1330.5,730.1,0.12,2.03,6,4,1.85,1.6,12.1,2.6,4.2
goinfre,gw5fR,831.0,0.36,538.2,1310.4,NA,0.61,0.68,7,5,2,2.45,8.4,3.9,4.2
golf,gOlf,583.1,0.00,466.7,1094.5,677.1,14.05,7.16,4,4,1.85,1.9,8.9,3.0,6.4
golfe,gOlf,614.6,0.09,485.6,1331.5,690.7,1.55,5.95,5,4,1.85,1.9,10.7,3.4,6.0
gomme,gOm,633.0,0.03,495.3,1218.3,612.1,3.27,9.8,5,3,1.35,1.25,5.7,4.6,6.7
gorge,gORZ,719.1,0.09,532.5,1109.9,666.7,30.12,82.91,5,4,1.4,1.5,5.7,4.4,6.4
gosse,gOs,758.6,0.35,519.6,1198.0,738.6,62.92,34.12,5,3,1.6,1.1,7.4,4.6,5.4
gouffre,gufR,704.8,0.09,518.3,1290.9,710.4,3.43,11.35,7,4,1.9,1.8,9.6,3.3,4.7
gourde,guRd,745.8,0.10,524.4,1283.3,693.8,3.34,5.47,6,4,1.5,1.4,7.5,3.5,6.1
gousse,gus,797.2,0.46,516.8,1308.3,821.9,0.51,0.81,6,3,1.45,1.05,10.0,3.2,5.0
goût,gu,588.0,0.00,455.8,1099.6,597.1,50.51,124.8,4,2,1.65,1,5.6,5.1,3.4
goutte,gut,625.6,0.03,443.7,1454.1,663.9,19.63,31.83,6,3,1.85,1,6.3,4.6,6.0
grâce,gRas,567.2,0.03,504.1,1090.0,669.7,118.39,128.78,5,4,1.95,1.05,8.8,5.6,2.4
grade,gRad,711.1,0.21,520.9,1228.5,711.4,5.78,7.03,5,4,1.5,1.15,10.7,3.3,3.4
grain,gR5,641.0,0.03,529.1,1108.7,633.4,10.74,24.26,5,3,1.5,1,6.4,3.7,6.0
graine,gREn,709.5,0.06,486.8,1283.8,604.7,5.51,8.04,6,4,1.6,1,5.8,3.5,6.3
graisse,gREs,687.1,0.03,499.7,1172.6,668.6,8.9,18.05,7,4,1.6,1,8.1,4.6,5.3
gramme,gRam,721.2,0.03,501.0,1309.2,684.1,1.76,1.22,6,4,1.85,1,8.1,4.7,2.5
grand,gR@,605.8,0.00,482.5,1148.7,690.3,414.99,629.79,5,3,1.7,1,4.1,5.5,5.1
grange,gR@Z,741.5,0.31,505.8,1191.8,707.2,6.95,40.74,6,4,1.7,1.55,7.2,3.3,6.4
grappe,gRap,678.4,0.13,502.6,1098.0,646.0,1.93,4.39,6,4,1.7,1,7.7,3.5,6.4
gras,gRa,660.2,0.03,460.2,1097.7,677.3,12.19,31.69,4,3,1.4,1,7.0,4.9,4.3
gratte,gRat,680.3,0.17,497.7,1298.2,719.8,4.28,7.5,6,4,1.55,1,5.9,4.5,3.4
grave,gRav,631.7,0.06,479.4,1041.4,612.0,137.34,80.27,5,4,1.2,1,6.2,5.5,2.7
gré,gRe,705.9,0.35,458.0,1138.4,878.2,11.36,28.04,3,3,1.65,1,11.3,3.3,1.9
